Year,Country,Happiness Score,GDP per Capita,Life Expectancy,Freedom,Perceptions of corruption,Generosity,Region
2015.0,Switzerland,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,Western Europe
2015.0,Iceland,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,Western Europe
2015.0,Denmark,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,Western Europe
2015.0,Norway,7.522,1.459,0.88521,0.66973,0.36503,0.34699,Western Europe
2015.0,Canada,7.427,1.32629,0.90563,0.63297,0.32957,0.45811,North America
2015.0,Finland,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,Western Europe
2015.0,Netherlands,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,Western Europe
2015.0,Sweden,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,Western Europe
2015.0,New Zealand,7.286,1.25018,0.90837,0.63938,0.42922,0.47501,Australia and New Zealand
2015.0,Australia,7.284,1.33358,0.93156,0.65124,0.35637,0.43562,Australia and New Zealand
2015.0,Israel,7.278,1.22857,0.91387,0.41319,0.07785,0.33172,Middle East and Northern Africa
2015.0,Costa Rica,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,Latin America and Caribbean
2015.0,Austria,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,Western Europe
2015.0,Mexico,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,Latin America and Caribbean
2015.0,United States,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,North America
2015.0,Brazil,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,Latin America and Caribbean
2015.0,Luxembourg,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,Western Europe
2015.0,Ireland,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,Western Europe
2015.0,Belgium,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,Western Europe
2015.0,United Arab Emirates,6.901,1.42727,0.80925,0.64157,0.38583,0.26428,Middle East and Northern Africa
2015.0,United Kingdom,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,Western Europe
2015.0,Oman,6.853,1.36011,0.76276,0.63274,0.32524,0.21542,Middle East and Northern Africa
2015.0,Venezuela,6.81,1.04424,0.72052,0.42908,0.11069,0.05841,Latin America and Caribbean
2015.0,Singapore,6.798,1.52186,1.02525,0.54252,0.4921,0.31105,Southeastern Asia
2015.0,Panama,6.786,1.06353,0.79661,0.5421,0.0927,0.24434,Latin America and Caribbean
2015.0,Germany,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,Western Europe
2015.0,Chile,6.67,1.10715,0.85857,0.44132,0.12869,0.33363,Latin America and Caribbean
2015.0,Qatar,6.611,1.69042,0.79733,0.6404,0.52208,0.32573,Middle East and Northern Africa
2015.0,France,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,Western Europe
2015.0,Argentina,6.574,1.05351,0.78723,0.44974,0.08484,0.11451,Latin America and Caribbean
2015.0,Czech Republic,6.505,1.17898,0.84483,0.46364,0.02652,0.10686,Central and Eastern Europe
2015.0,Uruguay,6.485,1.06166,0.8116,0.60362,0.24558,0.2324,Latin America and Caribbean
2015.0,Colombia,6.477,0.91861,0.69077,0.53466,0.0512,0.18401,Latin America and Caribbean
2015.0,Thailand,6.455,0.9669,0.7385,0.55664,0.03187,0.5763,Southeastern Asia
2015.0,Saudi Arabia,6.411,1.39541,0.72025,0.31048,0.32524,0.13706,Middle East and Northern Africa
2015.0,Spain,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,Western Europe
2015.0,Malta,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,Western Europe
2015.0,Taiwan,6.298,1.29098,0.8753,0.3974,0.08129,0.25376,Eastern Asia
2015.0,Kuwait,6.295,1.55422,0.72492,0.55499,0.25609,0.16228,Middle East and Northern Africa
2015.0,Suriname,6.269,0.99534,0.6082,0.59657,0.13633,0.16991,Latin America and Caribbean
2015.0,Trinidad and Tobago,6.168,1.21183,0.61483,0.55884,0.0114,0.31844,Latin America and Caribbean
2015.0,El Salvador,6.13,0.76454,0.67737,0.4035,0.11776,0.10692,Latin America and Caribbean
2015.0,Guatemala,6.123,0.74553,0.64425,0.57733,0.09472,0.27489,Latin America and Caribbean
2015.0,Uzbekistan,6.003,0.63244,0.59772,0.65821,0.30826,0.22837,Central and Eastern Europe
2015.0,Slovakia,5.995,1.16891,0.78902,0.31751,0.03431,0.16893,Central and Eastern Europe
2015.0,Japan,5.987,1.27074,0.99111,0.49615,0.1806,0.10705,Eastern Asia
2015.0,South Korea,5.984,1.24461,0.96538,0.33208,0.07857,0.18557,Eastern Asia
2015.0,Ecuador,5.975,0.86402,0.79075,0.48574,0.1809,0.11541,Latin America and Caribbean
2015.0,Bahrain,5.96,1.32376,0.74716,0.45492,0.306,0.17362,Middle East and Northern Africa
2015.0,Italy,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,Western Europe
2015.0,Bolivia,5.89,0.68133,0.5392,0.57414,0.088,0.20536,Latin America and Caribbean
2015.0,Moldova,5.889,0.59448,0.61826,0.32818,0.01615,0.20951,Central and Eastern Europe
2015.0,Paraguay,5.878,0.75985,0.66098,0.53899,0.08242,0.3424,Latin America and Caribbean
2015.0,Kazakhstan,5.855,1.12254,0.64368,0.51649,0.08454,0.11827,Central and Eastern Europe
2015.0,Slovenia,5.848,1.18498,0.87337,0.60855,0.03787,0.25328,Central and Eastern Europe
2015.0,Lithuania,5.833,1.14723,0.73128,0.21342,0.01031,0.02641,Central and Eastern Europe
2015.0,Nicaragua,5.828,0.59325,0.74314,0.55475,0.19317,0.27815,Latin America and Caribbean
2015.0,Peru,5.824,0.90019,0.73017,0.41496,0.05989,0.14982,Latin America and Caribbean
2015.0,Belarus,5.813,1.03192,0.73608,0.37938,0.1909,0.11046,Central and Eastern Europe
2015.0,Poland,5.791,1.12555,0.77903,0.53122,0.04212,0.16759,Central and Eastern Europe
2015.0,Malaysia,5.77,1.12486,0.72394,0.53024,0.10501,0.33075,Southeastern Asia
2015.0,Croatia,5.759,1.08254,0.78805,0.25883,0.0243,0.05444,Central and Eastern Europe
2015.0,Libya,5.754,1.13145,0.7038,0.41668,0.11023,0.18295,Middle East and Northern Africa
2015.0,Russia,5.716,1.13764,0.66926,0.36679,0.03005,0.00199,Central and Eastern Europe
2015.0,Jamaica,5.709,0.81038,0.68741,0.50442,0.02299,0.2123,Latin America and Caribbean
2015.0,North Cyprus,5.695,1.20806,0.92356,0.49027,0.1428,0.26169,Western Europe
2015.0,Cyprus,5.689,1.20813,0.92356,0.40672,0.06146,0.30638,Western Europe
2015.0,Algeria,5.605,0.93929,0.61766,0.28579,0.17383,0.07822,Middle East and Northern Africa
2015.0,Kosovo,5.589,0.80148,0.63132,0.24749,0.04741,0.2831,Central and Eastern Europe
2015.0,Turkmenistan,5.548,0.95847,0.53886,0.4761,0.30844,0.16979,Central and Eastern Europe
2015.0,Mauritius,5.477,1.00761,0.7095,0.56066,0.07521,0.37744,Sub-Saharan Africa
2015.0,Hong Kong,5.474,1.38604,1.01328,0.59608,0.37124,0.39478,Eastern Asia
2015.0,Estonia,5.429,1.15174,0.77361,0.44888,0.15184,0.0868,Central and Eastern Europe
2015.0,Indonesia,5.399,0.82827,0.63793,0.46611,0.0,0.51535,Southeastern Asia
2015.0,Vietnam,5.36,0.63216,0.74676,0.59444,0.10441,0.1686,Southeastern Asia
2015.0,Turkey,5.332,1.06098,0.73172,0.22815,0.15746,0.12253,Middle East and Northern Africa
2015.0,Kyrgyzstan,5.286,0.47428,0.65088,0.43477,0.04232,0.3003,Central and Eastern Europe
2015.0,Nigeria,5.268,0.65435,0.16007,0.34334,0.0403,0.27233,Sub-Saharan Africa
2015.0,Bhutan,5.253,0.77042,0.57407,0.53206,0.15445,0.47998,Southern Asia
2015.0,Azerbaijan,5.212,1.02389,0.64045,0.3703,0.16065,0.07799,Central and Eastern Europe
2015.0,Pakistan,5.194,0.59543,0.51466,0.12102,0.10464,0.33671,Southern Asia
2015.0,Jordan,5.192,0.90198,0.69639,0.40661,0.14293,0.11053,Middle East and Northern Africa
2015.0,Montenegro,5.192,0.97438,0.72521,0.1826,0.14296,0.1614,Central and Eastern Europe
2015.0,China,5.14,0.89012,0.81658,0.51697,0.02781,0.08185,Eastern Asia
2015.0,Zambia,5.129,0.47038,0.29924,0.48827,0.12468,0.19591,Sub-Saharan Africa
2015.0,Romania,5.124,1.04345,0.7689,0.35068,0.00649,0.13748,Central and Eastern Europe
2015.0,Serbia,5.123,0.92053,0.74836,0.20107,0.02617,0.19231,Central and Eastern Europe
2015.0,Portugal,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,Western Europe
2015.0,Latvia,5.098,1.11312,0.72437,0.29671,0.06332,0.18226,Central and Eastern Europe
2015.0,Philippines,5.073,0.70532,0.58114,0.62545,0.12279,0.24991,Southeastern Asia
2015.0,Somaliland region,5.057,0.18847,0.43873,0.46582,0.39928,0.50318,Sub-Saharan Africa
2015.0,Morocco,5.013,0.73479,0.60954,0.41691,0.08546,0.07172,Middle East and Northern Africa
2015.0,Macedonia,5.007,0.91851,0.73545,0.33457,0.05327,0.22359,Central and Eastern Europe
2015.0,Mozambique,4.971,0.08308,0.09131,0.34037,0.15603,0.22269,Sub-Saharan Africa
2015.0,Albania,4.959,0.87867,0.81325,0.35733,0.06413,0.14272,Central and Eastern Europe
2015.0,Bosnia and Herzegovina,4.949,0.83223,0.79081,0.09245,0.00227,0.24808,Central and Eastern Europe
2015.0,Lesotho,4.898,0.37545,0.07612,0.31767,0.12504,0.16388,Sub-Saharan Africa
2015.0,Dominican Republic,4.885,0.89537,0.66825,0.57672,0.14234,0.21684,Latin America and Caribbean
2015.0,Laos,4.876,0.59066,0.54909,0.59591,0.24249,0.42192,Southeastern Asia
2015.0,Mongolia,4.874,0.82819,0.60268,0.43626,0.02666,0.3323,Eastern Asia
2015.0,Swaziland,4.867,0.71206,0.07566,0.30658,0.0306,0.18259,Sub-Saharan Africa
2015.0,Greece,4.857,1.15406,0.88213,0.07699,0.01397,0.0,Western Europe
2015.0,Lebanon,4.839,1.02564,0.83947,0.33916,0.04582,0.21854,Middle East and Northern Africa
2015.0,Hungary,4.8,1.12094,0.75905,0.32112,0.02758,0.128,Central and Eastern Europe
2015.0,Honduras,4.788,0.59532,0.6951,0.40148,0.06825,0.23027,Latin America and Caribbean
2015.0,Tajikistan,4.786,0.39047,0.57379,0.47216,0.15072,0.22974,Central and Eastern Europe
2015.0,Tunisia,4.739,0.88113,0.73793,0.26268,0.06358,0.06431,Middle East and Northern Africa
2015.0,Palestinian Territories,4.715,0.59867,0.66015,0.24499,0.12905,0.11251,Middle East and Northern Africa
2015.0,Bangladesh,4.694,0.39753,0.60164,0.4082,0.12569,0.21222,Southern Asia
2015.0,Iran,4.686,1.0088,0.69805,0.30033,0.05863,0.38086,Middle East and Northern Africa
2015.0,Ukraine,4.681,0.79907,0.6739,0.25123,0.02961,0.15275,Central and Eastern Europe
2015.0,Iraq,4.677,0.98549,0.60237,0.0,0.13788,0.17922,Middle East and Northern Africa
2015.0,South Africa,4.642,0.92049,0.27688,0.33207,0.08884,0.11973,Sub-Saharan Africa
2015.0,Ghana,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,Sub-Saharan Africa
2015.0,Zimbabwe,4.61,0.271,0.33475,0.25861,0.08079,0.18987,Sub-Saharan Africa
2015.0,Liberia,4.571,0.0712,0.34201,0.28531,0.06232,0.24362,Sub-Saharan Africa
2015.0,India,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,Southern Asia
2015.0,Sudan,4.55,0.52107,0.36878,0.10081,0.1466,0.19062,Sub-Saharan Africa
2015.0,Haiti,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,Latin America and Caribbean
2015.0,Congo (Kinshasa),4.517,0.0,0.09806,0.22605,0.07625,0.24834,Sub-Saharan Africa
2015.0,Nepal,4.514,0.35997,0.56874,0.38282,0.05907,0.32296,Southern Asia
2015.0,Ethiopia,4.512,0.19073,0.44055,0.4345,0.15048,0.24325,Sub-Saharan Africa
2015.0,Sierra Leone,4.507,0.33024,0.0,0.4084,0.08786,0.21488,Sub-Saharan Africa
2015.0,Mauritania,4.436,0.45407,0.35874,0.24232,0.17461,0.219,Sub-Saharan Africa
2015.0,Kenya,4.419,0.36471,0.41435,0.42215,0.05839,0.37542,Sub-Saharan Africa
2015.0,Djibouti,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,Sub-Saharan Africa
2015.0,Armenia,4.35,0.76821,0.7299,0.19847,0.039,0.07855,Central and Eastern Europe
2015.0,Botswana,4.332,0.99355,0.04776,0.49495,0.12474,0.10461,Sub-Saharan Africa
2015.0,Myanmar,4.307,0.27108,0.48246,0.44017,0.19034,0.79588,Southeastern Asia
2015.0,Georgia,4.297,0.7419,0.72926,0.40577,0.38331,0.05547,Central and Eastern Europe
2015.0,Malawi,4.292,0.01604,0.22562,0.43054,0.06977,0.33128,Sub-Saharan Africa
2015.0,Sri Lanka,4.271,0.83524,0.70806,0.53726,0.09179,0.40828,Southern Asia
2015.0,Cameroon,4.252,0.4225,0.23402,0.49309,0.05786,0.20618,Sub-Saharan Africa
2015.0,Bulgaria,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,Central and Eastern Europe
2015.0,Egypt,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,Middle East and Northern Africa
2015.0,Yemen,4.077,0.54649,0.40064,0.35571,0.07854,0.09131,Middle East and Northern Africa
2015.0,Angola,4.033,0.75778,0.16683,0.10384,0.07122,0.12344,Sub-Saharan Africa
2015.0,Mali,3.995,0.26074,0.20583,0.38857,0.12352,0.18798,Sub-Saharan Africa
2015.0,Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.11686,0.12388,Sub-Saharan Africa
2015.0,Comoros,3.956,0.23906,0.36315,0.22917,0.199,0.17441,Sub-Saharan Africa
2015.0,Uganda,3.931,0.21102,0.33861,0.45727,0.07267,0.29066,Sub-Saharan Africa
2015.0,Senegal,3.904,0.36498,0.4354,0.36772,0.10713,0.20843,Sub-Saharan Africa
2015.0,Gabon,3.896,1.06024,0.43372,0.31914,0.11091,0.06822,Sub-Saharan Africa
2015.0,Niger,3.845,0.0694,0.29707,0.47692,0.15639,0.19387,Sub-Saharan Africa
2015.0,Cambodia,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,Southeastern Asia
2015.0,Tanzania,3.781,0.2852,0.38215,0.32878,0.05747,0.34377,Sub-Saharan Africa
2015.0,Madagascar,3.681,0.20824,0.46721,0.19184,0.08124,0.21333,Sub-Saharan Africa
2015.0,Central African Republic,3.678,0.0785,0.06699,0.48879,0.08289,0.23835,Sub-Saharan Africa
2015.0,Chad,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,Sub-Saharan Africa
2015.0,Guinea,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,Sub-Saharan Africa
2015.0,Ivory Coast,3.655,0.46534,0.15185,0.46866,0.17922,0.20165,Sub-Saharan Africa
2015.0,Burkina Faso,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,Sub-Saharan Africa
2015.0,Afghanistan,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,Southern Asia
2015.0,Rwanda,3.465,0.22208,0.42864,0.59201,0.55191,0.22628,Sub-Saharan Africa
2015.0,Benin,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,Sub-Saharan Africa
2015.0,Syria,3.006,0.6632,0.72193,0.15684,0.18906,0.47179,Middle East and Northern Africa
2015.0,Burundi,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,Sub-Saharan Africa
2015.0,Togo,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,Sub-Saharan Africa
2016.0,Denmark,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,Western Europe
2016.0,Switzerland,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,Western Europe
2016.0,Iceland,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,Western Europe
2016.0,Norway,7.498,1.57744,0.79579,0.59609,0.35776,0.37895,Western Europe
2016.0,Finland,7.413,1.40598,0.81091,0.57104,0.41004,0.25492,Western Europe
2016.0,Canada,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,North America
2016.0,Netherlands,7.339,1.46468,0.81231,0.55211,0.29927,0.47416,Western Europe
2016.0,New Zealand,7.334,1.36066,0.83096,0.58147,0.41904,0.49401,Australia and New Zealand
2016.0,Australia,7.313,1.44443,0.8512,0.56837,0.32331,0.47407,Australia and New Zealand
2016.0,Sweden,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,Western Europe
2016.0,Israel,7.267,1.33766,0.84917,0.36432,0.08728,0.32288,Middle East and Northern Africa
2016.0,Austria,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,Western Europe
2016.0,United States,7.104,1.50796,0.779,0.48163,0.14868,0.41077,North America
2016.0,Costa Rica,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,Latin America and Caribbean
2016.0,Puerto Rico,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,Latin America and Caribbean
2016.0,Germany,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,Western Europe
2016.0,Brazil,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,Latin America and Caribbean
2016.0,Belgium,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,Western Europe
2016.0,Ireland,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,Western Europe
2016.0,Luxembourg,6.871,1.69752,0.84542,0.5487,0.35329,0.27571,Western Europe
2016.0,Mexico,6.778,1.11508,0.71143,0.37709,0.18355,0.11735,Latin America and Caribbean
2016.0,Singapore,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,Southeastern Asia
2016.0,United Kingdom,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,Western Europe
2016.0,Chile,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,Latin America and Caribbean
2016.0,Panama,6.701,1.18306,0.70835,0.48927,0.08423,0.2418,Latin America and Caribbean
2016.0,Argentina,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,Latin America and Caribbean
2016.0,Czech Republic,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,Central and Eastern Europe
2016.0,United Arab Emirates,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,Middle East and Northern Africa
2016.0,Uruguay,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,Latin America and Caribbean
2016.0,Malta,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,Western Europe
2016.0,Colombia,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,Latin America and Caribbean
2016.0,France,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,Western Europe
2016.0,Thailand,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,Southeastern Asia
2016.0,Saudi Arabia,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,Middle East and Northern Africa
2016.0,Taiwan,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,Eastern Asia
2016.0,Qatar,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,Middle East and Northern Africa
2016.0,Spain,6.361,1.34253,0.87896,0.37545,0.06137,0.17665,Western Europe
2016.0,Algeria,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,Middle East and Northern Africa
2016.0,Guatemala,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,Latin America and Caribbean
2016.0,Suriname,6.269,1.09686,0.50933,0.52234,0.12692,0.16665,Latin America and Caribbean
2016.0,Kuwait,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,Middle East and Northern Africa
2016.0,Bahrain,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,Middle East and Northern Africa
2016.0,Trinidad and Tobago,6.168,1.32572,0.52608,0.48453,0.01241,0.31935,Latin America and Caribbean
2016.0,Venezuela,6.084,1.13367,0.61904,0.19847,0.08304,0.0425,Latin America and Caribbean
2016.0,Slovakia,6.078,1.27973,0.70367,0.23391,0.02947,0.13837,Central and Eastern Europe
2016.0,El Salvador,6.068,0.8737,0.596,0.37269,0.10613,0.08877,Latin America and Caribbean
2016.0,Malaysia,6.005,1.25142,0.62366,0.39031,0.09081,0.41474,Southeastern Asia
2016.0,Nicaragua,5.992,0.69384,0.65213,0.46582,0.16292,0.29773,Latin America and Caribbean
2016.0,Uzbekistan,5.987,0.73591,0.50163,0.60848,0.28333,0.34326,Central and Eastern Europe
2016.0,Italy,5.977,1.35495,0.85102,0.18827,0.02556,0.16684,Western Europe
2016.0,Ecuador,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,Latin America and Caribbean
2016.0,Belize,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,Latin America and Caribbean
2016.0,Japan,5.921,1.38007,0.91491,0.46761,0.18985,0.10224,Eastern Asia
2016.0,Kazakhstan,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,Central and Eastern Europe
